,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
13761,24648,55.76,11,16,0.35,6862.0,55.81,8.0,9.0,0.27,17786.0,55.74,3.0,7.0,0.64,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13763,1165000,101.45,3,5,0.43,1165000.0,101.45,3.0,5.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13764,6112000,100.12,3,4,0.89,6112000.0,100.12,3.0,4.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13765,10866000,100.23,3,3,0.85,10866000.0,100.23,3.0,3.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13766,1870356,107.72,100,255,0.1,1638824.0,107.64,71.0,148.0,0.13,215628.0,108.28,22.0,79.0,0.16,15904.0,107.84,7.0,28.0,0.38,0,1,1,0
13768,1755320000,102.03,9,25,0.47,1535320000.0,102.01,6.0,21.0,0.61,220000000.0,102.12,3.0,4.0,0.35,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13769,8397756,67.18,14,15,0.25,8397756.0,67.18,14.0,15.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13770,12700,4794.95,6,9,0.44,2000.0,4799.5,3.0,5.0,0.82,10700.0,4794.09,3.0,4.0,0.59,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13771,395406,16.02,27,39,0.1,254075.0,16.04,18.0,22.0,0.17,141331.0,15.99,9.0,17.0,0.21,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13772,313107,1.94,3,3,0.5,313107.0,1.94,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13773,43861,12.92,7,9,0.3,43861.0,12.92,7.0,9.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13774,1800,3060.16,3,3,0.38,1800.0,3060.16,3.0,3.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13775,18255,33.03,6,8,0.36,18255.0,33.03,6.0,8.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13776,52236,80.42,16,30,0.63,48508.0,80.42,12.0,15.0,0.73,3728.0,80.49,4.0,15.0,0.88,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13777,984150,0.42,4,4,0.92,984150.0,0.42,4.0,4.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13778,1503,74.8,3,4,0.35,1503.0,74.8,3.0,4.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13779,18663000,92.0,3,3,0.48,18663000.0,92.0,3.0,3.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13780,93019,114.39,30,48,0.1,72676.0,114.39,26.0,32.0,0.1,20343.0,114.4,4.0,16.0,0.8,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13781,127252,1.73,6,8,0.44,127252.0,1.73,6.0,8.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13782,33737,2.78,5,5,0.84,33737.0,2.78,5.0,5.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13783,2200000,98.13,3,3,0.52,2200000.0,98.13,3.0,3.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13784,4060000,101.38,5,5,0.37,4060000.0,101.38,5.0,5.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13785,15970,15.3,4,7,0.48,0.0,0.0,0.0,0.0,0.0,15970.0,15.3,4.0,7.0,0.48,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13786,675075,4694.36,24,35,0.16,523175.0,4695.55,21.0,32.0,0.19,151900.0,4690.29,3.0,3.0,0.85,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13787,608912,6.61,6,6,0.27,608912.0,6.61,6.0,6.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13788,257,148546.3,4,11,0.54,257.0,148546.3,4.0,11.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13789,27400,22.37,4,4,0.81,27400.0,22.37,4.0,4.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13790,63756039,81.04,10,18,0.19,20700600.0,80.63,5.0,6.0,0.68,43055439.0,81.24,5.0,12.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13791,16679,14.45,7,8,0.85,16679.0,14.45,7.0,8.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
